                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0613,                   0.64,                 1.0472,                 1.1743,                0.64197,                 1.0846,                0.90782,                0.81869,                0.87633,                0.55219,                 1.1543,                0.57233,                 1.1419,                 1.2056,                0.58027,                 1.1691,              0.0080791,              0.0080791,              0.0080791
                     55,                 1.0644,                 0.6321,                 1.0527,                 1.1833,                0.65761,                  1.086,                0.92347,                0.74226,                0.87108,                0.56588,                 1.1452,                0.58914,                 1.1544,                 1.1902,                0.56645,                 1.1745,              0.0080422,              0.0080422,              0.0080422
                     56,                 1.0371,                0.61995,                 1.0349,                 1.1481,                0.62641,                 1.0643,                0.84655,                0.83905,                0.88884,                0.55726,                 1.1612,                0.57382,                 1.1596,                 1.2176,                 0.5353,                 1.1739,              0.0080052,              0.0080052,              0.0080052
                     57,                 1.0449,                0.63215,                 1.0479,                 1.1604,                0.63262,                 1.0786,                0.88854,                0.79707,                0.89237,                0.53648,                 1.1495,                0.57576,                  1.156,                 1.2154,                0.55337,                 1.1512,              0.0079683,              0.0079683,              0.0079683
                     58,                 1.0473,                0.62881,                 1.0365,                 1.1611,                0.61598,                 1.0639,                0.85707,                0.82768,                0.88683,                0.56658,                 1.1611,                0.57024,                 1.1559,                 1.2051,                0.53344,                 1.1685,              0.0079313,              0.0079313,              0.0079313
                     59,                 1.0308,                0.61025,                 1.0404,                 1.1353,                0.59584,                 1.0672,                0.88409,                0.82418,                0.87377,                0.55916,                 1.1507,                0.56235,                 1.1587,                 1.2196,                0.52767,                 1.1694,              0.0078944,              0.0078944,              0.0078944
                     60,                 1.0412,                0.62686,                 1.0431,                 1.1511,                0.62224,                 1.0724,                 0.9437,                0.86006,                0.90873,                0.58902,                 1.1435,                0.55653,                 1.1629,                 1.1969,                 0.5419,                 1.1911,              0.0078575,              0.0078575,              0.0078575
                     61,                 1.0312,                0.61518,                 1.0398,                 1.1421,                0.61043,                 1.0698,                0.91312,                0.81371,                0.90309,                0.60046,                 1.1572,                0.55513,                 1.1516,                 1.2076,                0.55517,                 1.1699,              0.0078205,              0.0078205,              0.0078205
                     62,                 1.0354,                 0.6075,                 1.0412,                 1.1531,                0.59525,                  1.067,                0.92521,                0.82199,                0.89049,                0.59557,                 1.1576,                0.55089,                  1.172,                 1.1984,                0.51757,                 1.1793,              0.0077836,              0.0077836,              0.0077836
                     63,                 1.0329,                0.61735,                 1.0409,                 1.1394,                0.59524,                 1.0647,                0.89353,                0.77119,                0.87041,                0.56633,                 1.1415,                0.58022,                 1.1539,                 1.2189,                0.56589,                 1.1641,              0.0077466,              0.0077466,              0.0077466
